Instruction,Input,Output
Produce an actionable item for the following task.,Create a web application,"Create a web application using HTML, CSS, and JavaScript. Design the interface and develop the functionality of the application. Implement backend features using a server-side language such as Python or Node.js."
Generate a Python program to read a list of integers and print its elements in reversed order.,"The input should include a sample list of integers for testing the program, for example: [1, 3, 6, 8, 10]","list_of_ints = [1, 3, 6, 8, 10]

list_of_ints.reverse()

print(list_of_ints) # [10, 8, 6, 3, 1]"
Develop a Python script to convert Numbers to binary,Number = 7,"def toBinary(num):
    if num > 1:
        toBinary(num // 2)
    print(num % 2, end = '')

toBinary(7)"
Write a Python program that parses a single URL from a given string.,"""https://www.example.com/index.php?p=1&q=2""","import re

def parse_url(url):
    regex = r""^(https?://[^/]+)(.*)$""
    match = re.search(regex, url)
    return match.group(1), match.group(2)

url, query = parse_url(""https://www.example.com/index.php?p=1&q=2"")
print(""URL:"", url)
print(""Query:"", query)"
Convert the following python code into a Java program (15 lines or less).,"def fact(n):
    if n < 0:
        return 0
    if n == 0:
        return 1
    return n * fact(n - 1)","public class Factorial {
    public static int fact(int n) {
        if (n < 0) {
            return 0;
        }

        if (n == 0) {
            return 1;
        }

        return n * fact(n - 1);
    }
}"
Design a logic in Python to check if two numbers are divisible by each other.,"15, 30","def isDivisible(a, b):
    return a % b == 0"
Create an algorithm in Python to detect duplicate numbers in a given array.,"[3, 7, 4, 3, 6, 7]","def find_duplicates(numbers):
    seen = set()
    duplicates = set()

    for number in numbers:
        if number in seen:
            duplicates.add(number)
        else:
            seen.add(number)
    
    return duplicates"
Develop an algorithm in Python to reverse a given string.,"""Hello World!""","def reverse_string(string):
    reversed_string = """"
    for char in string:
        reversed_string = char + reversed_string
    return reversed_string

result = reverse_string(""Hello World!"")
print(result)"
Write a python program to extract the title of a given website,https://www.wikipedia.org,"import requests
from bs4 import BeautifulSoup

url = 'https://www.wikipedia.org' 
page = requests.get(url)
soup = BeautifulSoup(page.content, 'html.parser')
title = soup.find('title').text
print(title)
# Output: Wikipedia"
Create a Python script to generate 10 random numbers and print their sum.,<noinput>.,"import random

nums = random.sample(range(100), 10)
total = 0

for num in nums:
    total += num

print(total)"
Write a Python script to change all letter cases in a given string.,This Is A Test String,"def change_case(txt):
    result = """"
    for ch in txt:
        if ch.isupper():
            result += ch.lower()
        elif ch.islower():
            result += ch.upper()
    return result

txt = ""This Is A Test String""
result = change_case(txt)
print(result)"
Generate a python program to scramble a sequence of characters.,'Hello World!',"import random 

# Initialize the string  
string = 'Hello World!'

# Convert the string to a list
char_list = list(string) 

# Shuffle the list
random.shuffle(char_list) 

# Convert back the list to a string
random_string = ''.join(char_list)

# Print the scrambled string
print(random_string)"
Write a Python program to generate recurrence equation for a given sequence and initial condition.,"[2, 4, 6, 8], 2","def generate_recurrence(sequence, initial_condition): 
 if len(sequence) <= 1: 
 return initial_condition 
 
 a_i = sequence[-1] 
 a_i_1 = sequence[-2] 
 recurrence = a_i + initial_condition - a_i_1 
 return recurrence

result = generate_recurrence([2, 4, 6, 8], 2)
print(result)"
Rewrite this Python code block to use the reduce function.,"lst = [4, 1, 3, 2, 6, 5]
result = []
for i in range(len(lst)):
    result.append(lst[i] * 2)","from functools import reduce

lst = [4, 1, 3, 2, 6, 5]

result = reduce(lambda a, b: a + [b * 2], lst, [])"
Generate a Python program to visualize multiple dimensions of data with matplotlib.,.,"import matplotlib.pyplot as plt

x = [0, 1, 2, 3, 4, 5, 6, 7]
y = [0, 1, 4, 9, 16, 25, 36, 49]

plt.plot(x, y)
plt.xlabel('X Axis')
plt.ylabel('Y Axis')
plt.title('Plot of X and Y')
plt.show()"
Write a Python function to check if a given string is an anagram or not.,"str1 = ""listen"", str2 = ""silent""","def is_anagram(str1, str2): 
    if len(str1) != len(str2): 
        return False 
    str1 = sorted(str1.lower()) 
    str2 = sorted(str2.lower()) 
    return str1 == str2"
Give an algorithm and implement it in Python to sort the following array,"[9, 8, 2, 4, 5, 7, 0]","def sortArray(arr):
    n = len(arr)
    for i in range(n):
        min_idx = i
        for j in range(i+1, n):
            if arr[min_idx] > arr[j]:
                min_idx = j
        arr[i], arr[min_idx] = arr[min_idx], arr[i]
    return arr 
   
sortArray([9, 8, 2, 4, 5, 7, 0])"
"Write a Python program to replace a particular word in a sentence with ""XXX"".","Sentence: It's a beautiful day
Word to be replaced: beautiful","sentence = ""It's a beautiful day""

word = ""beautiful""

result = sentence.replace (word, ""XXX"")

print(result)"
Write a Python program to merge two given dictionaries.,"dict1 = {'a': 10, 'b': 20, 'c': 30}
dict2 = {'d': 40, 'e': 50, 'f': 60}","def merge_dicts(dict1, dict2):
    new_dict = dict1.copy()
    new_dict.update(dict2)
    return new_dict

dict1 = {'a': 10, 'b': 20, 'c': 30}
dict2 = {'d': 40, 'e': 50, 'f': 60}

print(merge_dicts(dict1, dict2))"
Create a Python function for reversing a string.,"string = ""hello world!""","def reverse_string(string):
    string = string[::-1]
    return string

result = reverse_string(string)
print(result) # output -> ""!dlrow olleh"""
Write a Python program to sort a given array in ascending order.,"array = [3, 1, 5, 4, 2]","def sort_ascending(array):
    n = len(array)
    for i in range(n):
        for j in range(0, n-i-1):
            if array[j] > array[j+1]:
                array[j], array[j+1] = array[j+1], array[j]
    return array

array = [3, 1, 5, 4, 2]
print(sort_ascending(array))"
Write a Python program to find the maximum number in an unsorted array without using linear search.,"arr = [5, 6, 4, 9, 1, 8, 2, 7, 3]","def find_max_unsorted(arr):
    max_value = arr[0]
    for i in range(1, len(arr)):
        if arr[i] > max_value:
            max_value = arr[i]
    return max_value"
Convert this Python code to JavaScript code.,"arr = [3, 4, 5 ,2 ,6, 8, 1]","let arr = [3, 4, 5, 2, 6, 8, 1];

function bubbleSort(arr) {
  let swapped;
  do {
    swapped = false;
    for (let i = 0; i < arr.length; i++) {
      if (arr[i] && arr[i + 1] && arr[i] > arr[i + 1]) {
        let temp = arr[i];
        arr[i] = arr[i + 1];
        arr[i + 1] = temp;
        swapped = true;
      }
    }
  } while (swapped);
  return arr;
}"
Write a python script to generate an array of random numbers between two specified values.,"min = 0
max = 50","import random

# Generate an array of random numbers between two specified values
def generate_array(min, max):
 array = []
 
 for i in range(min, max):
  array.append(random.randint(min, max))
 
 return array
 
min = 0
max = 50
print(generate_array(min, max))"
Create a Python script to generate a given number of random numbers within a particular range,A range of 0 to 100 and 5 numbers,"# Import library
import random

# Generate random numbers
random_nums = []

for i in range(5):
    random_nums.append(random.randint(0,100))

# Print random numbers
print(random_nums)"
Design an algorithm in Python for sorting a given array of numbers in descending order.,"An array of integers [3, 5, 7, 2, 4, 1]","def bubble_sort(arr):
 length = len(arr)
 
 for i in range(length - 1, 0, -1):
 for j in range(0, i):
 if arr[j] < arr[j + 1]:
 arr[j], arr[j + 1] = arr[j + 1], arr[j]
 
 return arr
 
a = [3, 5, 7, 2, 4, 1]
print(bubble_sort(a)) # [7, 5, 4, 3, 2, 1]"
"Write a Python function which, when given a string of text and a n number, returns a list of all n-grams within that string.","string = 'this is a simple string'
n = 3","def n_grams(string, n):
  tokens = string.split()
  n_grams = []
  for i in range(len(tokens)-n+1):
    n_grams.append(tokens[i:i+n])
  return n_grams"
Write a Python program to format a given string with a coefficient of over 66%.,"s = ""Hello World""","def format_string(s):
 return s.upper() if (s.count("" "")+1) / len(s) > 0.66 else s

s = ""Hello World""
print(format_string(s))
# Output: HELLO WORLD"
Write a code in Python to evaluate the expression 3x + 5 for any given x,x = 7,"def expression(x):
    return 3 * x + 5

print(expression(7))"
Generate a program in Python to compute the maximum of two given numbers.,"Number 1: 8
Number 2: 4","num1 = 8
num2 = 4
 
if (num1 > num2):
    print(""The maximum of the given numbers is: ""+str(num1))
else:
    print(""The maximum of the given numbers is: ""+str(num2))"
Create a Python function that takes in a list of numbers and returns the first occurrence of a prime number.,"[2, 4, 6, 8]","def findPrime(nums):
 for num in nums:
 if isPrime(num):
 return num

def isPrime(num):
 if num <= 1:
 return False
 for i in range(2, num):
 if (num % i == 0):
 return False
 return True"
Create a function in python that takes two integers as inputs and outputs the greatest common divisor.,"105, 45","def gcd(x, y): 
  
   while(y): 
       x, y = y, x % y 
  
   return x 
  
 # driver code  
x = 105
y = 45 
print(""The gcd of"", x,  
                        ""and"", y, ""is"", gcd(x, y))"
Create a method in Python to find the sum of all even numbers between two integers including the first and last number.,"Low: 10
High: 20","def even_sum(low, high):
    sum = 0
    for i in range(low, high+1):
        if i % 2 == 0:
            sum += i
    return sum

result = even_sum(10, 20)
print(result)"
Implement a Python function that takes an array of strings as the input and returns a list of distinct strings sorted lexicographically.,"['hello', 'world', 'hello', 'again']","def distinct_strings_sort(arr):
 result = []
 
 for s in arr:
 if s not in result:
 result.append(s)
 
 return sorted(result)

# Example:
arr = ['hello', 'world', 'hello', 'again']
distinct_sorted = distinct_strings_sort(arr)
print(distinct_sorted)  # Prints: ['again', 'hello', 'world']"
Write a Python code to calculate the sum of prime numbers between 1 and n.,n = 20,"n = 20

def calculate_sum_of_primes(n):
    result = 0
    if n >= 2:
        primes = [2]
        for i in range(3, n + 1, 2):
            for j in primes:
                if i % j == 0:
                    break
            else:
                primes.append(i)
        result = sum(primes)
    return result

print(calculate_sum_of_primes(n))"
Generate a python script to convert a string to a list of single-character strings in the same order.,'GPT',"def string_to_list(s):
    l = []
    for c in s:
        l.append(c)
    return l

l = string_to_list('GPT')
print(l)"
Write a function in Python to implement a search algorithm.,"List = [0, 1, 4, 3, 2, 5]","def search(list, query): 
    found_indices = [] 
    for i in range(len(list)): 
        if list[i] == query: 
            found_indices.append(i) 
    return found_indices"
Create a python program that checks if a given array is sorted in ascending order,"array = [1, 5, 3, 9, 4]","def check_sorted(array):
    return all(array[i] <= array[i+1] for i in range(len(array)-1))"
"Write code in Python to create a dictionary with two keys, ""x"" and ""y"", and their values of 7 and 8 respectively.",<no input>,"dictionary = {
    ""x"" : 7,
    ""y"" : 8
}"
Analyze the following data and build a linear regression model in Python.,"x = [1, 2, 3, 4, 5, 6, 7] 
y = [2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5]","import numpy as np

x = np.array([1,2,3,4,5,6,7])
y = np.array([2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5])

m = ((np.mean(x)*np.mean(y)) - np.mean(x*y))/((np.mean(x)**2) - np.mean(x**2))
c = np.mean(y) - (m*np.mean(x))

print(""slope ="", m)
print(""intercept ="", c)"
Write a python program that takes a list of strings and returns a sorted copy of the list.,"l1 = ['cat', 'dog', 'bird', 'elephant'","def sort_list(l):
    l.sort()
    return l

sorted_list = sort_list(['cat', 'dog', 'bird', 'elephant'])

print(sorted_list) # Output: ['bird', 'cat', 'dog', 'elephant']"
Design a function in Python that takes in a number n and prints the first n rows of the Pascal's Triangle.,10,"def print_pascal_triangle(n):
  prev_line = [1]
  print(prev_line)

  for i in range(1, n):
    line = [1]
    for j in range(1, i):
      line.append(prev_line[j-1] + prev_line[j])
    line.append(1)
    prev_line = line
    print(line)

print_pascal_triangle(10)"
Write an algorithm in Python for finding the minimum element in an array.,"[3, 4, 12, 19, 5, 17]","def findMin(arr): 
    min = arr[0] 
    for i in range(1, len(arr)): 
        if arr[i] < min: 
            min = arr[i] 
    return min

arr = [3, 4, 12, 19, 5, 17]
print(findMin(arr))"
Create a function in Python that takes an input string and returns whether it is a palindrome.,"txt = ""madam""","def isPalindrome(txt):
    i = 0
    j = len(txt) - 1
    
    while i < j:
        if txt[i] != txt[j]:
            return False
        i += 1
        j -= 1
    
    return True

print(isPalindrome(txt)) // True"
Create a web scraper using Python that collects the title and content from the homepage of a given website.,https://www.example.com as the target website.,"import requests
import bs4

url = 'https://www.example.com'
r = requests.get(url)
html = bs4.BeautifulSoup(r.text,""html.parser"")

# Find title
title = html.find('title')
print(title.text)

# Find content
content = html.find('div', {'class': 'content'})
print(content.text)"
Create a Python program to compute the frequency of each element in a given array.,"[1, 2, 3, 2, 1, 3]","def compute_frequency(arr):
    frequency_map = {}
    
    for num in arr:
        if num not in frequency_map:
            frequency_map[num] = 1
        else:
            frequency_map[num] += 1
            
    return frequency_map

result = compute_frequency([1, 2, 3, 2, 1, 3])
print(result)"
Write a function in Python to query the database and return the row value.,"Table Name: People
Columns: Name, Age, Gender","def query_database(table_name, columns):
    conn = sqlite3.connect('test.db') 
    cur = conn.cursor() 

    cur.execute(f""SELECT {columns} FROM {table_name}"") 

    rows = cur.fetchall()

    conn.close()
    return rows"
Write a Python program to sort data from the largest to the smallest.,"[44, 23, 11, 33, 5]","unsorted_list = [44, 23, 11, 33, 5]
sorted_list = sorted(unsorted_list, reverse=True)

print(sorted_list)"
Write a Python program to format a specified string to limit the number of characters to 6.,String: Hello World,"def limit_chars(string):
    # Limit the number of character to 6
    limited_string = string[:6]
    return limited_string

string = ""Hello World""
result = limit_chars(string)
print(result)"
Generate an algorithm in Python that finds the smallest positive number not present in an array.,"[1, 10, 5, 3, 8]","def findSmallestMissingPositiveInteger(arr): 
	positiveIntegers = set(i for i in range(1, len(arr) + 2)) 
	arrSet = set(arr) 
	res = positiveIntegers - arrSet 
	return res.pop() 
  
arr = [1, 10, 5, 3, 8] 
print(findSmallestMissingPositiveInteger(arr))"
Create a basic web-scrapper program in Python that downloads the entire HTML of a given website.,https://example.com,"import requests
response = requests.get(""https://example.com"")
html = response.text"
Write a Python program to randomly split a list into two parts.,"[1, 2, 3, 4, 5, 6, 7, 8]","import random

def split_list(input_list):
    index = random.randint(0, len(input_list)-1)
    part1 = input_list[:index]
    part2 = input_list[index:]
    return part1, part2

input_list = [1, 2, 3, 4, 5, 6, 7, 8]
print(""Original list :"", input_list)
result1, result2 = split_list(input_list)
print(""\nPart 1 :"", result1)
print(""Part 2 :"", result2)"
Create a Python script to print out the most common words in the text.,The quick brown fox jumps over the lazy dog.,"from collections import Counter

text = ""The quick brown fox jumps over the lazy dog.""
words = text.split()

word_counts = Counter(words)
most_common_words = word_counts.most_common()

for word, count in most_common_words:
    print(word, count)
# Output:
# the 2
# quick 1
# brown 1
# fox 1
# jumps 1
# over 1
# lazy 1
# dog 1"
Develop a function in python to find the index of an element in a list.,"a = [2, 3, 4, 5, 2]
x = 2","def find_index(a, x):
    indices = []
    if x not in a:
        return -1
    else:
        for i in range(len(a)):
            if a[i] == x:
                indices.append(i)
    return indices

indices = find_index(a, x)
print(""The index of element 2 in the list is"", indices)"
Write a Python program to take a list of numbers and ensure that each element in the list is either the minimum or maximum value in the list.,"[5, 4, 3, 4, 8, 6, 7]","def normalize(nums):
  min_num = min(nums)
  max_num = max(nums)

  for i, n in enumerate(nums):
    if n > min_num and n < max_num:
      if n - min_num > max_num - n:
        nums[i] = max_num
      else:
        nums[i] = min_num

  return nums

print(normalize([5, 4, 3, 4, 8, 6, 7]))
# [5, 4, 3, 5, 8, 6, 7]"
Create a Python program to check if a number is an Armstrong number.,number = 153,"def isArmstrong(number): 
	
	num = number 
	length = len(str(number)) 
	sum_of_the_power_of_digits = 0 

	while num > 0:
		rem = num % 10 
		sum_of_the_power_of_digits = sum_of_the_power_of_digits +  np.power(rem, length)
		num //= 10
		
	if (sum_of_the_power_of_digits == number) : 
		return True 
	else : 
		return False"
Create a Python program to remove all duplicate numbers from a list.,"[1, 2, 3, 2, 4, 3, 5]","def remove_duplicates(nums):
    new_list = []
    for num in nums:
        if num not in new_list:
            new_list.append(num)
    return new_list

if __name__ == '__main__':
	nums = [1,2,3,2,4,3,5]
	new_list = remove_duplicates(nums)
	print(new_list)"
Split the following string into words in Python,string = 'this_is_a_string_in_python',"# Split the string by '_' separator
words = string.split('_')

# Print each word separately
for word in words:
    print(word)"
"Write a Python program to convert a given string to a list, using a specified delimiter.","""red, blue, green"", delimiter = "",""","def string_to_list(string, delimiter):
 list = string.split(delimiter)
 return list

string = ""red, blue, green""
delimiter = "",""
print(string_to_list(string, delimiter))"
Generate a python script to calculate the standard deviation of a given data set.,"data_set = [2,4,4,4,5,5,7,9]","import statistics

data_set = [2,4,4,4,5,5,7,9]
print(round(statistics.stdev(data_set),2))"
Create a program in Python to determine all possible combinations of words from an array.,"words = [""cat"", ""dog"", ""pizza"", ""coffee""]","import itertools

words = [""cat"", ""dog"", ""pizza"", ""coffee""]
combinations = list(itertools.combinations(words, 2))

for i in range(len(combinations)):
    print(combinations[i])"
Reorder the elements of an array in ascending order using Python.,"[5, 3, 6, 1, 7]","def sort_ascending(arr):
    for i in range(len(arr)):
        for j in range(i+1, len(arr)):
            if arr[i] > arr[j]:
                arr[i], arr[j] = arr[j], arr[i]
    return arr

arr = [5, 3, 6, 1, 7]
arr = sort_ascending(arr)
print(arr)"
Create a python script to reverse a given InputString.,"InputString = ""My string""","def reverseString(InputString):
    return InputString[::-1]"
Implement a function to merge and sort two given sorted lists in Python.,"list_1 = [1, 3, 5, 6, 7]
list_2 = [4, 8, 9, 10]","def merge_sort(list_1, list_2):
    merged_list = list_1 + list_2
    merged_list.sort()
    return merged_list

if __name__ == '__main__':
    list_1 = [1, 3, 5, 6, 7]
    list_2 = [4, 8, 9, 10]
    print(merge_sort(list_1, list_2))"
Write a Python function to randomize a given list of integers.,"[1, 2, 3, 4, 5]","import random

def randomize(arr):
  random.shuffle(arr)
  return arr"
Transform the following data frame in Python.,"df = [
    {'name': 'Bob', 'age': 25},
    {'name': 'Mary', 'age': 18},
    {'name': 'John', 'age': 32},
]","import pandas as pd

df = pd.DataFrame(df)

#Transform the dataframe
df['age_group'] = [ ""under 20"" if a < 20
   else ""20-35"" if a < 35
   else ""over 35""
   for a in df['age']]"
"Given an input string, write a Python program to count the occurrence of each character in the string.","""Hello, World!""","def char_occurrences(a_string):
 char_count = {}
 for char in a_string:
 if char in char_count:
 char_count[char] += 1
 else:
 char_count[char] = 1
 return char_count

string = ""Hello, World!""
print(char_occurrences(string))

# Output
# {'H': 1, 'e': 1, 'l': 3, 'o': 2, ', ': 1, 'W': 1, 'r': 1, 'd': 1, '!': 1}"
Design a Python script that converts Miles/hour to Kilometers/hour.,Speed in Miles/hour: 60,"def mph_to_kph(speed):
 kph = speed * 1.609
 return kph"
Create a Python program to sort a list of strings according to the length of the strings in ascending order.,"['Python', 'JS', 'C++', 'Java', 'PHP']","# Function to sort the list according to string length
def sort_string_list(string_list):
    return sorted(string_list, key=len)

if __name__ == '__main__':
    string_list = ['Python', 'JS', 'C++', 'Java', 'PHP']
    sorted_string_list = sort_string_list(string_list)
    print(sorted_string_list)"
Edit the following python code to run in Python 3,"print ""Hello World!""","print(""Hello World!"")"
Construct a Python program to perform sentiment analysis on an input string and output the sentiment score.,Example sentence: I had a great day yesterday,"import nltk

sentence = ""I had a great day yesterday""

words = nltk.word_tokenize(sentence)

text = nltk.Text(words)

polarity_score = text.polarity_scores()

print(polarity_score)"
Update the given Python program to print the result in reverse order.,"numbers = [1, 2, 3, 4, 5, 6]","numbers = [1, 2, 3, 4, 5, 6]

for x in reversed(numbers):
    print(x)"
Build a REST API endpoint in Python that takes a user's name and returns a personalized greeting message.,"name = ""John""","from flask import Flask

app = Flask(__name__)

@app.route('/greeting', methods=['GET'])
def get_greeting(name):
 return 'Hello, ' + name + '!'

if __name__ == '__main__':
 app.run()"
Modify the Python code below to create a function for finding the sum of a list of numbers.,"list=[1,2,3,4,5]","def sum_list(nums):
    total = 0
    for num in nums:
        total += num
    return total
    
my_list = [1,2,3,4,5]

print(sum_list(my_list))"
Write a python program to get all possible subset combinations of a given set.,"[1,2,3]","def subset_combinations(arr):
    result = [[]]
    for ele in arr:
        for i in range(len(result)):
            tmp = list(result[i])
            tmp.append(ele)
            result.append(tmp)

    return result

if __name__ == '__main__':
    arr = [1,2,3]
    print(""All possible combinations:"", subset_combinations(arr))"
Design a Python program that prints a sentence every 10 seconds.,"""Hello World""","import time

sentence = ""Hello World""

while True:
    print(sentence)
    time.sleep(10)"
Generate a Python program to merge two dictionaries.,"dict1 = {'a':1, 'b':2, 'c':3}
dict2 = {'d':4, 'e':5, 'f':6}","dict1 = {'a':1, 'b':2, 'c':3}
dict2 = {'d':4, 'e':5, 'f':6}

dict3 = {**dict1, **dict2}
print(dict3)

# Output: {'a': 1, 'b': 2, 'c': 3, 'd': 4, 'e': 5, 'f': 6}"
Create a Python program to find the most frequent item in a list.,"[1, 3, 1, 3, 2, 1]","def most_frequent(list): 
    counter = 0
    num = list[0] 
    
    for i in list: 
        curr_frequency = list.count(i) 
        if(curr_frequency> counter): 
            counter = curr_frequency 
            num = i 
  
    return num 
  
list = [1, 3, 1, 3, 2, 1]
print(most_frequent(list))"
Generate a Python program to initialize a third matrix given two existing matrices c and d.,"c = [[7, 8], [6, 3]]
d = [[6, 7], [1, 5]]","def initialize_matrix(c, d):
    rows = len(c)
    cols = len(c[0])
    matrix = []
    for i in range(rows):
        row = []
        for j in range(cols):
            row.append(c[i][j] + d[i][j])
        matrix.append(row)
    return matrix"
Optimize the given Python code to reduce execution time,"def calculate_sum(numbers):
    result = 0
    for number in numbers:
        result += number
    return result

numbers = [1, 2, 3, 4, 5]
calculate_sum(numbers)","def calculate_sum(numbers):
    return sum(numbers)

numbers = [1, 2, 3, 4, 5]
calculate_sum(numbers)"
Create a Python program to capture the data from a web page.,https://www.example.com/,"import requests
import lxml.html as lh

url = 'https://www.example.com/'
page = requests.get(url)
doc = lh.fromstring(page.content)

# parse and extract data from webpage
data = doc.xpath('//p/text()')"
Create a Python program to sort a list of tuples in ascending order by their second element.,"[(4, 2), (3, 7), (2, 3)]","def sort_tuples(tup): 
  
    # reverse = None (Sorts in Ascending order) 
    # key is set to sort using second element of  
    # sublist lambda has been used 
    tup.sort(key = lambda x: x[1])  
    return tup  
  
# Driver Code 
tuple1 = [(4, 2), (3, 7), (2, 3)]  
print(sort_tuples(tuple1))"
Create a Python program that extracts the minimum value from a dictionary.,"{""key1"": 3, ""key2"": 5, ""key3"": 1}","def get_min_value(dct):
    min_value = float('inf')
    for key, val in dct.items():
        if val < min_value:
            min_value = val
    return min_value

dct = {""key1"": 3, ""key2"": 5, ""key3"": 1}
print(get_min_value(dct))"
"Given an array of strings, write a Python function to remove all duplicates and return the resulting array.","Example array: ['a', 'b', 'a', 'c', 'c', 'd']","def removeDuplicates(arr):
 result = [] 
  
 # traverse for all elements 
 for i in arr: 
  
  # check if exists in result 
  if i not in result: 
   result.append(i) 
  
 # return result 
 return result"
Create a Python program that takes in a 2D array and returns the sum of all the elements.,"[[1, 2, 3],
 [4, 5, 6],
 [7, 8, 9]]","def sum_2D_array(arr):
    """"""Return the sum of all the elements in a 2D array.""""""
    sum_arr = 0
    for row in arr:
        for elem in row:
            sum_arr += elem
    return sum_arr"
Write Python code to get the difference between two lists.,"[1, 2, 3, 4]
[1, 2, 5, 6]","def difference(list1, list2):
    difference_list = []
    for num1 in list1:
        if num1 not in list2:
            difference_list.append(num1)
    for num2 in list2:
        if num2 not in list1:
            difference_list.append(num2)
    return difference_list"
Write a Python program that takes a list of strings as an input and returns a dictionary containing the count of each string in the list.,"['a', 'b', 'c', 'a', 'b']","def count_strings(lst):
    result = {}
    for item in lst:
        if item in result:
            result[item] += 1
        else:
            result[item] = 1
    return result

list_of_strings = ['a', 'b', 'c', 'a', 'b']
result = count_strings(list_of_strings)
print(result)"
Write a Python script that takes two numbers as input and raises the first number to the power of the second number.,"2, 5","def power_function(a, b):
    return a**b

a = int(input(""Enter the first number: ""))
b = int(input(""Enter the second number: ""))

result = power_function(a, b)
print(""The result is:"", result)"
Write a Python script to calculate the factorial of an integer.,6,"def factorial(n):
 if n == 0:
  return 1
 return n * factorial(n-1)

num = 6
print(""Factorial of"", num, ""is"", factorial(num))"
Generate a Python program which takes two lists and returns a list which contain only the items which are shared between the two lists,"[1, 2, 3], [3, 4, 5]","def find_intersection(list1, list2):
    intersection = []
    for item1 in list1:
        for item2 in list2:
            if item1 == item2:
                intersection.append(item1)
    return intersection

list1 = [1, 2, 3]
list2 = [3, 4, 5]
result = find_intersection(list1, list2)
print(result)"
Rewrite the following Python code using for loop instead of list comprehensions.,"list_of_nums = [1, 2, 3, 4, 5] 
list_of_squares = [num**2 for num in list_of_nums]","list_of_nums = [1, 2, 3, 4, 5] 
list_of_squares = []

for num in list_of_nums: 
 list_of_squares.append(num**2)"
Simplify a fraction using a provided Python code.,"def gcd(a, b):
    if b == 0:
        return a
    return gcd(b, a % b)","def simplify(numerator, denominator):
    
    # find the gcd (greatest common divisor)
    gcd = gcd(numerator, denominator)

    # divide both numerator and denominator by the gcd
    simplified_numerator = int(numerator/gcd)
    simplified_denominator = int(denominator/gcd)

    return simplified_numerator, simplified_denominator"
Generate a Python algorithm to multiply two number.,"x = 8
y = 3","def mul_numbers(x, y):
    return x*y"
Write a function in Python to convert a Celsius temperature to Fahrenheit degree.,Temperature in Celsius: 20,"def celsius_to_fahrenheit(cel):
  return cel * 1.8 + 32

temp_in_fahrenheit = celsius_to_fahrenheit(20)
print(""Temperature in Fahrenheit:"", temp_in_fahrenheit)"
Write a python script,to generate a square matrix 4x4 filled with values from 1 to 4.,"matrix = [[1,2,3,4],
          [1,2,3,4],
          [1,2,3,4],
          [1,2,3,4]]"
Write a Python script to write another program that performs the given task.,Write a program that calculates the factorial of a number.,"def create_factorial_program():
    program = 'def factorial(n):\n'
    program += '    if n < 0:\n'
    program += '        return None\n'
    program += '    elif n == 0:\n'
    program += '        return 1\n'
    program += '    else:\n'
    program += '        return n * factorial(n - 1)'
    return program"
Can you provide a Python program that prints the largest element in the given list?,"[1, 3, 4, 5, 19, 13, 7]","def get_largest(nums):
    max_num = nums[0]
    for num in nums:
        if num > max_num:
            max_num = num
    return max_num

print(get_largest([1, 3, 4, 5, 19, 13, 7]))"
Develop a Python generator to yield a Fibonacci sequence,No input,"def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        yield a
        a, b = b, a + b

for x in fibonacci(20):
    print(x)"
Generate an algorithm in Python which takes a matrix of integers as input and returns the position of the largest element in the matrix.,"matrix = [[2, 8, 7], [3, 11, 5], [1, 9, 4]]","def max_pos(mat):
 max_v = -float('inf')
 max_i = -1
 max_j = -1
 
 for i in range(len(mat)):
  for j in range(len(mat[i])):
   if mat[i][j] > max_v:
    max_i = i
    max_j = j
 
 return (max_i, max_j)
 
matrix = [[2, 8, 7], [3, 11, 5], [1, 9, 4]]
pos = max_pos(matrix)
print(pos) # (1, 1)"
Design a python class to store fruit and its quantity in a grocery store.,"Banana - 200
Orange - 300
Grapes - 500","class FruitGrocery:
    def __init__(self):
        self.items = {
            'Banana': 200,
            'Orange': 300,
            'Grapes': 500
        }

    def get_item_quantity(self, item):
        return self.items.get(item)"
Let's write a loop in Python to take the average of two numbers,"Numbers: [45, 65]","x = [45, 65]
total = 0
for i in range(len(x)):
  total += x[i]
  average = total / len(x)

print(""Average of the numbers is:"", average)"
Create a Python script that detects a cycle in a linked list.,head -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 3,"def detect_cycle(head):
 # Use two pointers, one slow and one fast, to detect a cycle
 slow = fast = head # Init with head
 while slow and fast and fast.next:
 slow = slow.next  # Move slow one node ahead
 fast = fast.next.next  # Move fast two node ahead
 if slow == fast:  # Detect cycle
 return True
 return False"
Edit a given Python program to make it bug-free.,"def foo():
   i = 0
   for x in range(10):
      i = i + x
      
   print(i)

foo()","def foo():
   i = 0
   for x in range(10):
      i = i + x
   return i

print(foo())"
Generate Python code to print the sum of two user-defined variables.,"var1 = 3 
var2 = 7","var1 = 3
var2 = 7

sum = var1 + var2
print('The sum of var1 and var2 is ' + str(sum)) # prints 'The sum of var1 and var2 is 10'"
Optimize the following Python program to increase its performance by three times.,"def slow_operation(n):
    result = 0
    for i in range(n):
        result += i
    return result","def fast_operation(n):
    result = (n * (n + 1)) // 2
    return result"
